ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,Male,Single,67,University,124670,Employee,Large
100000002,Female,Non-Single,22,High School,150773,Employee,Large
100000003,Male,Single,49,High School,89210,Unemployed,Small
100000004,Male,Single,45,High School,171565,Employee,Medium
100000005,Male,Single,53,High School,149031,Employee,Medium
100000006,Male,Single,35,High School,144848,Unemployed,Small
100000007,Male,Single,53,High School,156495,Employee,Medium
100000008,Male,Single,35,High School,193621,Self-Employed,Medium
100000009,Male,Non-Single,61,University,151591,Unemployed,Small
100000010,Male,Non-Single,28,High School,174646,Self-Employed,Small
100000011,Female,Non-Single,25,High School,108469,Employee,Small
100000012,Female,Non-Single,24,High School,127596,Employee,Small
100000013,Female,Non-Single,22,High School,108687,Employee,Large
100000014,Male,Single,60,University,89374,Unemployed,Small
100000015,Female,Non-Single,28,High School,102899,Employee,Medium
100000016,Female,Non-Single,32,High School,88428,Unemployed,Small
100000017,Male,Single,53,High School,125550,Employee,Small
100000018,Male,Single,25,Other,157434,Employee,Large
100000019,Female,Non-Single,44,University,261952,Self-Employed,Large
100000020,Male,Single,31,Other,144657,Employee,Medium
100000021,Male,Single,48,High School,118777,Employee,Medium
100000022,Male,Single,44,High School,147511,Employee,Medium
100000023,Male,Single,48,High School,89804,Unemployed,Small
100000024,Male,Single,44,High School,134918,Employee,Large
100000025,Male,Non-Single,26,High School,103667,Employee,Large
100000026,Male,Single,36,High School,71909,Unemployed,Small
100000027,Male,Non-Single,39,High School,68264,Unemployed,Small
100000028,Female,Non-Single,42,University,163025,Employee,Medium
100000029,Male,Single,34,High School,119307,Employee,Medium
100000030,Male,Single,63,University,175882,Employee,Small
100000031,Male,Non-Single,36,High School,159646,Employee,Medium
100000032,Male,Single,27,Other,120131,Employee,Medium
100000033,Male,Single,30,Other,162745,Employee,Large
100000034,Male,Single,57,University,87605,Unemployed,Small
100000035,Female,Non-Single,33,High School,155569,Self-Employed,Medium
100000036,Male,Single,25,Other,104505,Unemployed,Small
100000037,Male,Single,31,Other,143385,Employee,Large
100000038,Male,Single,37,High School,127676,Employee,Medium
100000039,Male,Single,37,High School,119276,Employee,Medium
100000040,Male,Single,24,Other,92542,Employee,Medium
100000041,Male,Single,30,Other,163329,Self-Employed,Medium
100000042,Male,Non-Single,26,High School,130921,Employee,Small
100000043,Male,Single,44,High School,133658,Unemployed,Small
100000044,Male,Non-Single,24,High School,155104,Employee,Medium
100000045,Female,Non-Single,58,University,142335,Unemployed,Medium
100000046,Female,Non-Single,35,High School,138387,Self-Employed,Medium
100000047,Male,Single,39,High School,140182,Employee,Small
100000048,Female,Non-Single,23,High School,65421,Unemployed,Small
100000049,Male,Single,39,High School,130500,Unemployed,Small
100000050,Female,Non-Single,28,High School,122831,Employee,Small
100000051,Male,Single,29,Other,84531,Unemployed,Small
100000052,Male,Single,30,Other,180196,Self-Employed,Large
100000053,Male,Single,25,Other,92058,Employee,Large
100000054,Male,Single,31,Other,117158,Employee,Small
100000055,Male,Single,57,University,135830,Employee,Medium
100000056,Male,Single,26,Other,58258,Unemployed,Small
100000057,Male,Single,52,High School,202575,Self-Employed,Large
100000058,Female,Non-Single,31,High School,183657,Employee,Medium
100000059,Female,Non-Single,23,High School,152267,Self-Employed,Medium
100000060,Female,Non-Single,23,High School,115240,Unemployed,Small
100000061,Male,Non-Single,27,High School,106955,Employee,Large
100000062,Male,Single,50,High School,123641,Employee,Medium
100000063,Male,Single,61,University,166410,Self-Employed,Medium
100000064,Male,Single,25,Other,227385,Employee,Large
100000065,Female,Non-Single,26,High School,118372,Employee,Medium
100000066,Male,Single,48,High School,148115,Employee,Medium
100000067,Female,Non-Single,29,High School,111069,Employee,Small
100000068,Male,Non-Single,22,High School,139780,Employee,Small
100000069,Male,Single,37,High School,106978,Employee,Large
100000070,Female,Non-Single,25,High School,110019,Employee,Large
100000071,Female,Non-Single,30,High School,169102,Employee,Medium
100000072,Male,Single,46,High School,73703,Unemployed,Small
100000073,Male,Single,51,High School,141858,Self-Employed,Large
100000074,Female,Non-Single,41,University,135959,Unemployed,Small
100000075,Male,Single,40,High School,140888,Self-Employed,Large
100000076,Male,Single,66,University,157299,Self-Employed,Large
100000077,Male,Single,34,High School,125187,Employee,Medium
100000078,Male,Single,51,High School,155486,Employee,Large
100000079,Male,Single,39,High School,151697,Unemployed,Small
100000080,Male,Non-Single,22,High School,126400,Employee,Medium
100000081,Female,Non-Single,44,University,159246,Employee,Large
100000082,Male,Single,47,High School,136138,Employee,Medium
100000083,Female,Non-Single,24,High School,84792,Unemployed,Small
100000084,Female,Non-Single,58,University,100210,Unemployed,Small
100000085,Male,Single,52,High School,93706,Unemployed,Small
100000086,Female,Non-Single,29,High School,133783,Self-Employed,Medium
100000087,Female,Non-Single,27,High School,110064,Employee,Large
100000088,Male,Single,47,High School,241068,Employee,Medium
100000089,Male,Single,30,Other,149022,Self-Employed,Large
100000090,Male,Single,28,Other,92973,Employee,Large
100000091,Male,Single,56,High School,110605,Employee,Medium
100000092,Male,Single,54,High School,116604,Employee,Medium
100000093,Female,Non-Single,33,High School,71070,Unemployed,Small
100000094,Male,Single,20,Other,128678,Employee,Medium
100000095,Male,Single,54,High School,165230,Employee,Large
100000096,Male,Single,58,University,268340,Employee,Medium
100000097,Female,Non-Single,61,University,135070,Employee,Medium
100000098,Male,Single,34,High School,134794,Employee,Large
100000099,Male,Single,36,High School,120153,Employee,Medium
100000100,Male,Single,36,High School,195465,Self-Employed,Large
100000101,Male,Non-Single,41,High School,93372,Unemployed,Small
100000102,Male,Single,24,Other,110446,Employee,Small
100000103,Female,Non-Single,24,High School,95186,Employee,Medium
100000104,Male,Single,35,High School,115343,Employee,Medium
100000105,Male,Non-Single,26,High School,107276,Employee,Medium
100000106,Male,Single,39,High School,244716,Self-Employed,Large
100000107,Male,Single,39,High School,183108,Self-Employed,Large
100000108,Male,Single,32,Other,152876,Employee,Large
100000109,Female,Non-Single,30,High School,165147,Employee,Small
100000110,Male,Non-Single,35,High School,140520,Employee,Small
100000111,Male,Non-Single,31,High School,124203,Employee,Medium
100000112,Female,Non-Single,23,High School,107205,Employee,Medium
100000113,Male,Single,28,Other,121432,Unemployed,Large
100000114,Female,Non-Single,25,High School,162445,Employee,Small
100000115,Male,Non-Single,35,High School,134112,Employee,Medium
100000116,Male,Single,47,High School,131842,Employee,Medium
100000117,Female,Non-Single,30,High School,189896,Self-Employed,Small
100000118,Female,Non-Single,27,High School,109099,Employee,Large
100000119,Female,Non-Single,23,High School,153539,Employee,Medium
100000120,Male,Non-Single,36,High School,180495,Self-Employed,Medium
100000121,Female,Non-Single,25,High School,104653,Employee,Large
